"year","count"
1966,"1"
1968,"1"
1969,"5"
1970,"50"
1971,"48"
1972,"48"
1973,"53"
1974,"53"
1975,"54"
1976,"54"
1977,"248"
1978,"101"
1979,"52"
1980,"64"
1981,"56"
1982,"102"
1983,"65"
1984,"75"
1985,"82"
1986,"87"
1987,"86"
1988,"59"
1989,"56"
1990,"58"
1991,"451"
1992,"394"
1993,"352"
1994,"383"
1995,"392"
1996,"414"
1997,"411"
1998,"445"
1999,"374"
2000,"1236"
2001,"1408"
2002,"1326"
2003,"1271"
2004,"1205"
2005,"1250"
2006,"1647"
2007,"1187"
2008,"1380"
2009,"1607"
2010,"1496"
2011,"1310"
2012,"1170"
2013,"1433"
2014,"1843"
2015,"1284"
2016,"1514"
2017,"1221"
2018,"1184"
2019,"913"
2020,"862"
2021,"26"
